position,artist,track,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature
1000,Robert Nickson,Circles - Original Mix,2009,0.579,0.736,5,-7.456,0.0433,2.41e-05,0.913,0.276,0.151,135.981,5UUFp9egC7mN69xkztll8G,spotify:track:5UUFp9egC7mN69xkztll8G,409412,4
999,Mark Otten,So Serene - Menno de Jong Heading South Dub Mix,2005,0.625,0.811,2,-8.393,0.0435,0.00959,0.874,0.309,0.333,137.993,3s0ACywyYmmUv30FuRpTx0,spotify:track:3s0ACywyYmmUv30FuRpTx0,500435,4
998,Nic Chagall,Monday Bar - Original Mix,2006,0.605,0.996,6,-6.436,0.124,0.000303,0.788,0.105,0.0471,139.978,3PG1MCCCJsv6T0R7SPxt2e,spotify:track:3PG1MCCCJsv6T0R7SPxt2e,503613,4
997,ATN,Miss A Day - Original Mix,2004,0.485,0.881,1,-8.548,0.0333,0.00043,0.847,0.0681,0.152,140.016,5IIaFHMPl5ske0mr4PUvuX,spotify:track:5IIaFHMPl5ske0mr4PUvuX,496853,4
996,Late Night Alumni & Lumïsade,Empty Streets - Lumïsade Balearic Mix,2019,0.637,0.742,2,-8.05,0.0295,0.0798,0.192,0.576,0.15,126.997,2W5spAZZzDzClckPWT0oAS,spotify:track:2W5spAZZzDzClckPWT0oAS,319370,4
995,Elevven,One Last Time - Extended Mix,2020,0.618,0.878,6,-4.577,0.049,0.000127,0.023,0.497,0.203,127.996,0mC0L8i7l7bfiSvggi6aDg,spotify:track:0mC0L8i7l7bfiSvggi6aDg,335550,4
994,Omnia,Infina - Original Mix,2012,0.517,0.867,10,-5.878,0.0453,0.00237,0.847,0.407,0.829,132.003,39qqeS24ER7B90jwRaPYhG,spotify:track:39qqeS24ER7B90jwRaPYhG,347969,4
993,Ron van den Beuken,Timeless - Ron van den Beuken Remix,2008,0.521,0.941,1,-8.825,0.0594,0.00125,0.92,0.35,0.263,139.994,3cK62RyLCP5oMLdEeQuHPi,spotify:track:3cK62RyLCP5oMLdEeQuHPi,506600,4
992,Greg Downey & Bo Bruce,These Hands I Hold - Sean Tyas Remix,2015,0.544,0.942,8,-6.273,0.0704,0.000408,0.408,0.101,0.0776,137.999,32oZhuCYXz1bFeX4mKy3g8,spotify:track:32oZhuCYXz1bFeX4mKy3g8,459130,4
991,M.I.K.E. & Plastic Boy,Chocolate Infusion - Original Mix,2011,0.728,0.462,10,-6.059,0.0493,0.00169,0.878,0.0704,0.191,136.002,5dqkgY6P5XqMeWMx2IvpyE,spotify:track:5dqkgY6P5XqMeWMx2IvpyE,454217,4
990,Andy Moor & Sue McLaren & Stoneface & Terminal,Fight The Fire - Stoneface & Terminal Remix,2011,0.281,0.91,1,-5.647,0.0415,0.000291,0.569,0.105,0.136,131.992,4IcVpMl3kdRm6MKMVgaXxs,spotify:track:4IcVpMl3kdRm6MKMVgaXxs,531749,4
989,Adam Nickey,Never Gone - Original Mix [Above & Beyond Respray],2007,0.473,0.911,8,-7.863,0.0326,0.00207,0.948,0.273,0.551,135.843,2TCiyxY2UuscwAtuck7A5n,spotify:track:2TCiyxY2UuscwAtuck7A5n,549573,4
988,Elevation,Ocean Rain - Original Mix,2005,0.631,0.881,10,-12.41,0.097,0.00245,0.272,0.422,0.117,130.004,0XctTsh33xqvvkyp3AHvI8,spotify:track:0XctTsh33xqvvkyp3AHvI8,561231,4
987,Salt Tank & Michael Wood,Eugina - Michael Woods Remix,2000,0.546,0.953,5,-7.614,0.0412,0.00024,0.728,0.0779,0.593,134.005,16KYmEBHNWieo2vyDdXImp,spotify:track:16KYmEBHNWieo2vyDdXImp,499080,4
986,Lost Witness & Sassot & Aly & Fila,Whatever - Aly & Fila Extended Remix,2007,0.512,0.939,6,-6.346,0.0453,3e-05,0.842,0.643,0.581,140.01,6V4GHBALtP9RDeN7ZZID3C,spotify:track:6V4GHBALtP9RDeN7ZZID3C,457347,4
985,Simon Patterson & Waio,Smack - Waio Remix,2016,0.521,0.928,9,-7.401,0.0529,0.000138,0.862,0.852,0.14,140.003,5CoeTt9oZZ6Vb0MuvNMKWv,spotify:track:5CoeTt9oZZ6Vb0MuvNMKWv,493441,4
984,Agnelli & Nelson,Hudson Street,2011,0.615,0.559,9,-11.511,0.0338,0.0325,0.906,0.277,0.108,129.987,3jS7z8Dw7JLpZ73YCCiH98,spotify:track:3jS7z8Dw7JLpZ73YCCiH98,641800,4
983,Vincent de Moor,Flowtation,1996,0.729,0.989,1,-6.103,0.039,0.0139,0.794,0.188,0.573,139.7,2NiWIaGKDoS4UJYDiCT32x,spotify:track:2NiWIaGKDoS4UJYDiCT32x,443746,4
982,Ilan Bluestone & Jerome Isma-Ae,Under My Skin - Original Mix,2013,0.67,0.655,10,-9.645,0.119,0.00127,0.0132,0.182,0.409,127.011,2dJdmSaC9vrKwEfPssqcni,spotify:track:2dJdmSaC9vrKwEfPssqcni,385065,4
981,A Force,Crystal Dawn [ASOT 254] - A Tribute To '99 Remix,2006,0.515,0.858,11,-12.598,0.041,0.00557,0.391,0.493,0.451,137.659,6fVv4OftvEnSajpJzdDtGq,spotify:track:6fVv4OftvEnSajpJzdDtGq,325223,4
980,Sander van Doorn,Koko - Original Mix,2011,0.769,0.614,1,-7.667,0.0585,0.00188,0.912,0.0803,0.196,127.99,2kVkEo2wJfS6UHQEpryLt9,spotify:track:2kVkEo2wJfS6UHQEpryLt9,339375,4
979,Sean Tyas,Chrome - Extended Mix,2019,0.442,0.998,9,-7.043,0.075,0.000938,0.892,0.705,0.131,140.005,4dx6YTrSFQjBJgqtdvUpbe,spotify:track:4dx6YTrSFQjBJgqtdvUpbe,421714,4
978,Ruben de Ronde & Donata & FEEL,Stand In My Way - FEEL Extended Remix,2017,0.542,0.914,9,-4.857,0.0447,0.000132,0.000294,0.156,0.285,131.987,2MDCq4CFWTalvWpu6jHImg,spotify:track:2MDCq4CFWTalvWpu6jHImg,298201,4
977,Max Graham,The Evil ID - Mark Sherry Remix,2014,0.652,0.872,7,-5.686,0.0462,8.21e-05,0.807,0.147,0.113,131.977,2qYkK15vwDv78El6Jn9UZP,spotify:track:2qYkK15vwDv78El6Jn9UZP,451404,4
976,Leon Bolier & Surpresa,Poseidon - Original Mix,2006,0.607,0.898,11,-5.244,0.0576,0.00115,0.853,0.169,0.379,138.003,3xqYfLlwJkQ5v0elDlNTul,spotify:track:3xqYfLlwJkQ5v0elDlNTul,482947,4
975,Myon & Carrie Skipper & Shane 54,Vampire - Club Mix,2008,0.693,0.829,6,-9.575,0.0714,0.00093,0.46,0.669,0.0625,132.0,36Zc6A9b0FWZtoYQ1QIYh8,spotify:track:36Zc6A9b0FWZtoYQ1QIYh8,565036,4
974,Inertia & Sean Tyas & Tom Colontonio,The System - Sean Tyas & Tom Colontonio Remix,2008,0.475,0.98,5,-5.209,0.048,0.000104,0.913,0.924,0.54,139.985,6puuYYo43ZAGeOSfUSmiUF,spotify:track:6puuYYo43ZAGeOSfUSmiUF,495429,4
973,Andrew Bayer,From The Earth - Breakfast Remix,2011,0.563,0.702,0,-7.403,0.0415,0.00092,0.0293,0.0883,0.388,133.993,5HpI0yxhjUdEUpQqa818Ac,spotify:track:5HpI0yxhjUdEUpQqa818Ac,494417,4
972,Solarstone & Scott Bond,Naked Angel - Original Mix,2004,0.538,0.94,11,-7.648,0.0453,0.0062,0.896,0.148,0.354,136.029,0FY2KQat6CvQk0IR1KtnCs,spotify:track:0FY2KQat6CvQk0IR1KtnCs,641137,4
971,W&W,Search For Tomorrow,2011,0.531,0.825,7,-6.435,0.0387,0.175,0.62,0.115,0.038,129.982,1iVl8EKmaZMMClbLACyh7X,spotify:track:1iVl8EKmaZMMClbLACyh7X,544253,4
970,Gabriel & Dresden & Molly,Let Go - Original Mix,2006,0.577,0.643,9,-8.905,0.0512,0.0427,0.749,0.123,0.0577,127.963,5zhseewCBnAem4Zcbg8qia,spotify:track:5zhseewCBnAem4Zcbg8qia,386507,4
969,Myon & Shane 54 & Labworks,Ibiza Sunrise - Classic Dub,2010,0.557,0.963,5,-6.596,0.0517,0.000428,0.924,0.671,0.299,134.986,0i21ELFscuhvnqdkmZuDcS,spotify:track:0i21ELFscuhvnqdkmZuDcS,515514,4
968,Bogdan Vix & Claudiu Adam & Mona Moua,Stay - Extended Mix,2020,0.541,0.944,8,-8.793,0.0764,0.0391,0.54,0.331,0.263,137.982,4nqdWLiZYU6D9xYwzllfHy,spotify:track:4nqdWLiZYU6D9xYwzllfHy,327391,4
967,Neptune Project,Aztec - Original Mix,2010,0.627,0.935,0,-10.776,0.0535,0.0011,0.854,0.0841,0.179,139.992,64jpO5s5EQyb5kFI22jXsA,spotify:track:64jpO5s5EQyb5kFI22jXsA,530567,4
966,Fabio XB & Micky Vi,Make This Your Day - Gareth Emery Remix,2009,0.597,0.661,5,-9.769,0.0411,7.31e-05,0.42,0.616,0.355,133.98,7BWaPDTykGRNJbglrxIC7Z,spotify:track:7BWaPDTykGRNJbglrxIC7Z,501940,4
965,Heatbeat,Rocker Monster - Original Mix,2012,0.653,0.917,5,-7.143,0.0492,0.0039,0.888,0.729,0.51,132.009,7ecaXfA0nJPCnSSbpcpMp0,spotify:track:7ecaXfA0nJPCnSSbpcpMp0,403636,4
964,Ava Mea,In The End - Original Mix,2005,0.557,0.72,6,-14.059,0.0356,0.00134,0.876,0.117,0.568,128.002,59XJYCZWfBROr0J5XL0Inu,spotify:track:59XJYCZWfBROr0J5XL0Inu,565870,4
963,Rodg,High On Life - Extended Mix,2016,0.694,0.707,11,-7.903,0.0596,0.16,0.859,0.641,0.22,128.013,1kd3mtv5c4csn9Rqw2RFLf,spotify:track:1kd3mtv5c4csn9Rqw2RFLf,378047,4
962,Midway,Monkey Forest - Original Mix Edit,2003,0.651,0.923,6,-15.197,0.0509,0.0139,0.836,0.387,0.318,136.987,5YPD8A9PpKp7lUDs0j6oFQ,spotify:track:5YPD8A9PpKp7lUDs0j6oFQ,597514,4
961,Ramin Djawadi & Armin van Buuren,Game Of Thrones Theme - Armin van Buuren Extended Remix,2015,0.53,0.966,7,-6.205,0.0508,2.31e-05,0.865,0.0855,0.0609,137.989,3pPdOaWjnnMV0570NUUz4t,spotify:track:3pPdOaWjnnMV0570NUUz4t,409565,4
960,Filterheadz,Yimanya - Original Mix,2012,0.682,0.965,11,-6.098,0.0575,0.00045,0.689,0.0869,0.801,135.001,438LS85kXWLIiR1HfKQMq0,spotify:track:438LS85kXWLIiR1HfKQMq0,514227,4
959,Breakfast,Remember - Extended Mix,2009,0.633,0.624,1,-10.045,0.0381,0.0159,0.824,0.123,0.0843,135.99,5e4hPudNbELIXrEhRIjBnJ,spotify:track:5e4hPudNbELIXrEhRIjBnJ,494118,4
958,Vincent de Moor,Sunflower - VDM's Rework,2008,0.339,0.958,4,-5.898,0.0671,3.73e-05,0.917,0.1,0.192,133.965,4rIaStyKjJlkx3LCwhmVxe,spotify:track:4rIaStyKjJlkx3LCwhmVxe,472776,4
957,Ferry Corsten,Radio Crash - Extended Mix,2008,0.598,0.937,10,-7.594,0.0966,0.000358,0.806,0.0888,0.144,138.009,60BJh3vfwz8PIkH4vCLuwq,spotify:track:60BJh3vfwz8PIkH4vCLuwq,440309,4
956,Christina Novelli & Craig Connelly,Beautiful Life - Craig Connelly Extended Remix,2020,0.575,0.981,1,-4.131,0.0703,0.000234,0.0533,0.0448,0.391,139.973,30F54M12oPN40MZgnAERQB,spotify:track:30F54M12oPN40MZgnAERQB,430677,4
955,Josh Gabriel & Winter Kills,Deep Down - Original Mix,2009,0.639,0.808,10,-7.785,0.0583,0.0189,0.697,0.58,0.355,129.942,3C82jL6ise6gsG8mT8y2k9,spotify:track:3C82jL6ise6gsG8mT8y2k9,591178,4
954,Super8 & Tab & Jan Burton,Black Is Back - Classic Vocal Mix,2012,0.576,0.781,11,-6.246,0.048,0.000485,0.774,0.0481,0.56,133.998,68tT8pt8EZXe7cFrPjUOzT,spotify:track:68tT8pt8EZXe7cFrPjUOzT,420163,4
